device,protocol,protocol_avg_size,number of packets, percent of packets, load of this device, percent of packets, load of this device,,,
Triby Speaker,TCP,187,1015,51.6,0.21,51.60142349,0.214267585,,,
Triby Speaker,Bad TCP,66,949,48.25,0.21,48.24605999,0.214267585,,,
Triby Speaker,UDP,342,3,0.15,0.21,0.152516523,0.214267585,,,
Dropcam,TCP,185,55884,99.94,6.09,99.93562232,6.091430277,,,
Dropcam,Bad TCP,159,33,0.06,6.09,0.059012876,6.091430277,,,
Dropcam,UDP,322,3,0.01,6.09,0.005364807,6.091430277,,,
Netatmo Welcome,UDP,69,2814,90.22,0.34,90.22122475,0.339756277,,,
Netatmo Welcome,TCP SYN/FIN,71,53,1.7,0.34,1.699262584,0.339756277,,,
Netatmo Welcome,TCP,147,210,6.73,0.34,6.73292722,0.339756277,,,
Netatmo Welcome,TCP RST,54,14,0.45,0.34,0.448861815,0.339756277,,,
Netatmo Welcome,HTTP,104,20,0.64,0.34,0.641231164,0.339756277,,,
Netatmo Welcome,ICMP,82,8,0.26,0.34,0.256492466,0.339756277,,,
Insteon Camera,UDP,103,8985,79.05,1.24,79.05155728,1.238111526,,,
Insteon Camera,HTTP,80,1965,17.29,1.24,17.28840401,1.238111526,,,
Insteon Camera,TCP RST,62,416,3.66,1.24,3.660038712,1.238111526,,,
Samsung SmartCam,TCP,124,3492,84.25,0.45,84.24607961,0.451519644,,,
Samsung SmartCam,Bad TCP,130,38,0.92,0.45,0.916767189,0.451519644,,,
Samsung SmartCam,UDP,322,3,0.07,0.45,0.072376357,0.451519644,,,
Samsung SmartCam,HTTP,106,486,11.72,0.45,11.72496984,0.451519644,,,
Samsung SmartCam,TCP SYN/FIN,70,126,3.04,0.45,3.039806996,0.451519644,,,
HP Printer,TCP,140,579,83.67,0.08,83.67052023,0.07538036,,,
HP Printer,Bad TCP,140,106,15.32,0.08,15.31791908,0.07538036,,,
HP Printer,UDP,342,3,0.43,0.08,0.433526012,0.07538036,,,
HP Printer,ICMP,86,4,0.58,0.08,0.578034682,0.07538036,,,
Smart Things,TCP,92,3033,42.56,0.78,42.56244738,0.776243422,,,
Smart Things,Bad TCP,60,4093,57.44,0.78,57.43755262,0.776243422,,,
Amazon Echo,UDP,196,3752,33.15,1.23,33.15366263,1.232773899,,,
Amazon Echo,TCP,119,4960,43.83,1.23,43.82786958,1.232773899,,,
Amazon Echo,HTTP,67,2101,18.56,1.23,18.56499072,1.232773899,,,
Amazon Echo,TCP SYN/FIN,71,117,1.03,1.23,1.033842891,1.232773899,,,
Amazon Echo,TCP RST,54,60,0.53,1.23,0.530175842,1.232773899,,,
Amazon Echo,Bad TCP,91,327,2.89,1.23,2.889458337,1.232773899,,,
Withings Aura smart sleep sensor,TCP,145,5066,84.42,0.65,84.41926346,0.653695871,,,
Withings Aura smart sleep sensor,UDP,342,3,0.05,0.65,0.049991668,0.653695871,,,
Withings Aura smart sleep sensor,HTTP,256,931,15.51,0.65,15.51408099,0.653695871,,,
Withings Aura smart sleep sensor,Bad TCP,225,1,0.02,0.65,0.016663889,0.653695871,,,
Light Bulbs LiFX Smart Bulb,TCP,126,1400,84.59,0.18,84.59214502,0.180281064,,,
Light Bulbs LiFX Smart Bulb,Bad TCP,122,252,15.23,0.18,15.2265861,0.180281064,,,
Light Bulbs LiFX Smart Bulb,UDP,590,3,0.18,0.18,0.181268882,0.180281064,,,
Belkin wemo motion sensor,TCP SYN/FIN,69,1227,32.01,0.42,32.01147926,0.417533123,,,
Belkin wemo motion sensor,TCP,142,2472,64.49,0.42,64.49256457,0.417533123,,,
Belkin wemo motion sensor,Bad TCP,74,127,3.31,0.42,3.313331594,0.417533123,,,
Belkin wemo motion sensor,TCP RST,62,7,0.18,0.42,0.182624576,0.417533123,,,
Samsung Galaxy Tab,TCP,123,4604,80.03,0.63,80.02781158,0.626680944,,,
Samsung Galaxy Tab,Bad TCP,113,476,8.27,0.63,8.273944029,0.626680944,,,
Samsung Galaxy Tab,ICMP,86,139,2.42,0.63,2.416130714,0.626680944,,,
Samsung Galaxy Tab,HTTP,104,254,4.42,0.63,4.41508778,0.626680944,,,
Samsung Galaxy Tab,TCP SYN/FIN,71,234,4.07,0.63,4.067443073,0.626680944,,,
Samsung Galaxy Tab,TCP RST,56,43,0.75,0.63,0.74743612,0.626680944,,,
Samsung Galaxy Tab,UDP,350,3,0.05,0.63,0.052146706,0.626680944,,,
Belkin Wemo switch,TCP,160,407,98.07,0.05,98.07228916,0.04520643,,,
Belkin Wemo switch,TCP SYN/FIN,74,3,0.72,0.05,0.722891566,0.04520643,,,
Belkin Wemo switch,TCP RST,62,3,0.72,0.05,0.722891566,0.04520643,,,
Belkin Wemo switch,Bad TCP,78,2,0.48,0.05,0.481927711,0.04520643,,,
Netatmo weather station,TCP SYN/FIN,58,131,18.56,0.08,18.55524079,0.076905397,,,
Netatmo weather station,TCP,118,451,63.88,0.08,63.88101983,0.076905397,,,
Netatmo weather station,Bad TCP,54,59,8.36,0.08,8.35694051,0.076905397,,,
Netatmo weather station,UDP,350,65,9.21,0.08,9.206798867,0.076905397,,,
Withings Smart scale,HTTP,331,72,100,0.01,100,0.007843043,,,
Android Phone,ICMP,82,6,0.18,0.37,0.176626435,0.370039139,,,
Android Phone,TCP SYN/FIN,72,289,8.51,0.37,8.507506623,0.370039139,,,
Android Phone,HTTP,187,385,11.33,0.37,11.33352958,0.370039139,,,
Android Phone,TCP,234,2085,61.38,0.37,61.37768619,0.370039139,,,
Android Phone,Bad TCP,144,506,14.9,0.37,14.89549603,0.370039139,,,
Android Phone,TCP RST,57,116,3.41,0.37,3.414777745,0.370039139,,,
Android Phone,UDP,650,10,0.29,0.37,0.294377392,0.370039139,,,
Laptop,HTTP,74,24252,3.03,87.2,3.029504314,87.202332,,,
Laptop,TCP SYN/FIN,60,660,0.08,87.2,0.082445689,87.202332,,,
Laptop,TCP,58,756971,94.56,87.2,94.5590842,87.202332,,,
Laptop,UDP,184,12414,1.55,87.2,1.550728458,87.202332,,,
Laptop,ICMP,86,133,0.02,87.2,0.016614055,87.202332,,,
Laptop,TCP RST,54,80,0.01,87.2,0.009993417,87.202332,,,
Laptop,Bad TCP,60,6017,0.75,87.2,0.751629864,87.202332,,,
